"Марка","Модель","Год выпуска","Тип кузова","Объём двигателя","Пробег","Цена","Город","Дата публикации","Ссылка на объявление"
Toyota,"Land Cruiser",2013,"Внедорожник","4.6 (бензин)",,"21 200 000 ₸","Алматы",2025-07-03T23:59:59+05:00,https://kolesa.kz/a/show/193120776
Mercedes-Benz,"G 55 AMG",2009,"Внедорожник","5.5 (бензин)","150 км","23 500 000 ₸","Алматы",2025-07-04T14:02:17+05:00,https://kolesa.kz/a/show/187293949
Nissan,GT-R,2012,"Купе","3.8 (бензин)","49 000 км","29 500 000 ₸","Алматы",2025-07-04T11:38:29+05:00,https://kolesa.kz/a/show/192676684
Hyundai,Grandeur,2023,Седан,"2.5 (бензин)","21 000 км","20 500 000 ₸","Алматы",2025-07-07T23:59:59+05:00,https://kolesa.kz/a/show/185806386
Li,L6,2024,"Кроссовер","1.5 (гибрид)",,"20 520 000 ₸","Алматы",2025-07-07T23:59:59+05:00,https://kolesa.kz/a/show/174521271
Toyota,"RAV 4",2024,"Кроссовер","2 (бензин)","30 000 км","21 500 000 ₸","Алматы",2025-07-07T19:49:47+05:00,https://kolesa.kz/a/show/193481626
Mercedes-Benz,"S 600",2009,Седан,"5.5 (бензин)","74 000 км","30 000 000 ₸","Алматы",2025-07-05T10:12:20+05:00,https://kolesa.kz/a/show/191020843
Toyota,"Land Cruiser",2012,"Внедорожник","4.6 (бензин)","150 000 км","23 000 000 ₸","Алматы",2025-07-07T23:59:59+05:00,https://kolesa.kz/a/show/192943198
BMW,530,2021,Седан,"2 (бензин)","42 000 км","28 000 000 ₸","Алматы",2025-07-07T23:59:59+05:00,https://kolesa.kz/a/show/185444705
Ford,Mustang,2021,"Купе","5 (бензин)","58 500 км","24 800 000 ₸","Алматы",2025-07-07T16:58:51+05:00,https://kolesa.kz/a/show/190215109
Lexus,"ES 350",2022,Седан,"3.5 (бензин)","80 000 км","28 000 000 ₸","Алматы",2025-07-07T23:59:59+05:00,https://kolesa.kz/a/show/193061191
BMW,X5,2019,"Кроссовер","3 (бензин)","169 668 км","31 438 438 ₸","Алматы",2025-07-06T23:59:59+05:00,https://kolesa.kz/a/show/189245821
Mercedes-Benz,"S 560",2019,Седан,"4 (бензин)","140 000 км","32 000 000 ₸","Алматы",2025-07-07T23:59:59+05:00,https://kolesa.kz/a/show/174991444
"Land Rover","Range Rover",2013,"Внедорожник","5 (бензин)",,"22 500 000 ₸","Алматы",2025-07-07T23:59:59+05:00,https://kolesa.kz/a/show/190140045
Toyota,"RAV 4",2025,"Кроссовер","2 (бензин)",,"22 990 000 ₸","Алматы",2025-07-07T23:59:59+05:00,https://kolesa.kz/a/show/184179936
BYD,Xia,2025,"Минивэн","1.5 (гибрид)",,"26 297 000 ₸","Алматы",2025-07-07T23:59:59+05:00,https://kolesa.kz/a/show/191794389
Lexus,"RX 350",2022,"Кроссовер","3.5 (бензин)","5 200 км","27 000 000 ₸","Алматы",2025-07-07T12:33:38+05:00,https://kolesa.kz/a/show/193446842
Li,L7,2024,"Кроссовер","1.5 (гибрид)","6 700 км","26 500 000 ₸","Алматы",2025-07-05T20:16:39+05:00,https://kolesa.kz/a/show/191803408
Nissan,Patrol,2013,"Внедорожник","5.6 (бензин)",,"22 000 000 ₸","Алматы",2025-07-07T23:59:59+05:00,https://kolesa.kz/a/show/192023421
Lexus,"GX 460",2022,"Внедорожник","4.6 (бензин)",,"31 000 000 ₸","Алматы",2025-07-07T13:40:13+05:00,https://kolesa.kz/a/show/193453465
Hyundai,Palisade,2024,"Кроссовер","3.8 (бензин)","11 677 км","21 500 000 ₸","Алматы",2025-07-07T19:26:21+05:00,https://kolesa.kz/a/show/185097411
Lexus,"LX 570",2012,"Внедорожник","5.7 (бензин)","145 000 км","26 500 000 ₸","Алматы",2025-07-05T09:43:27+05:00,https://kolesa.kz/a/show/193297751
BMW,540,2017,Седан,"3 (бензин)","100 000 км","25 500 000 ₸","Алматы",2025-07-07T19:31:27+05:00,https://kolesa.kz/a/show/193480393
Toyota,"Land Cruiser",2016,"Внедорожник","4.6 (бензин)","170 000 км","29 500 000 ₸","Алматы",2025-07-03T23:59:59+05:00,https://kolesa.kz/a/show/177355456
Jeep,Wrangler,2015,"Внедорожник","3.6 (бензин)","75 000 км","21 000 000 ₸","Алматы",2025-07-07T23:59:59+05:00,https://kolesa.kz/a/show/193418706
Mercedes-Benz,"GLC 300",2023,"Кроссовер","2 (бензин)","10 000 км","26 000 000 ₸","Алматы",2025-07-03T15:28:29+05:00,https://kolesa.kz/a/show/191253092
Mercedes-Benz,"G 350",2012,"Внедорожник","3 (дизель)","167 000 км","22 500 000 ₸","Алматы",2025-07-07T23:59:59+05:00,https://kolesa.kz/a/show/181117700
Li,L6,2024,"Кроссовер","1.5 (гибрид)",,"20 600 000 ₸","Алматы",2025-07-07T23:59:59+05:00,https://kolesa.kz/a/show/174560022
Audi,Q5,2021,"Кроссовер","2 (бензин)","27 000 км","25 500 000 ₸","Алматы",2025-07-07T15:49:28+05:00,https://kolesa.kz/a/show/156864781
Mercedes-Benz,"G 500",2012,"Внедорожник","5.5 (бензин)","85 000 км","26 000 000 ₸","Алматы",2025-07-03T14:35:19+05:00,https://kolesa.kz/a/show/177177708
Hyundai,Grandeur,2024,Седан,"2.5 (бензин)","1 370 км","22 500 000 ₸","Алматы",2025-07-07T23:59:59+05:00,https://kolesa.kz/a/show/187310108
Audi,A6,2021,Седан,"2 (бензин)","50 000 км","22 000 000 ₸","Алматы",2025-07-07T19:10:17+05:00,https://kolesa.kz/a/show/184056222
Li,L9,2025,"Внедорожник","1.5 (гибрид)",,"30 990 000 ₸","Алматы",2025-07-07T23:59:59+05:00,https://kolesa.kz/a/show/192860232
Audi,"Q5 Sportback",2023,"Кроссовер","2 (бензин)","25 км","32 000 000 ₸","Алматы",2025-07-07T23:59:59+05:00,https://kolesa.kz/a/show/173088896
Toyota,"Land Cruiser 70",2014,"Внедорожник","4.5 (бензин)","105 000 км","21 500 000 ₸","Алматы",2025-07-07T16:52:07+05:00,https://kolesa.kz/a/show/171703829
Li,L9,2025,"Внедорожник","1.5 (гибрид)",,"30 990 000 ₸","Алматы",2025-07-07T23:59:59+05:00,https://kolesa.kz/a/show/192493373
Porsche,Panamera,2015,"Лифтбек","3 (бензин)","92 000 км","31 000 000 ₸","Алматы",2025-07-07T23:59:59+05:00,https://kolesa.kz/a/show/145524658
Lexus,"ES 300h",2023,Седан,"2.5 (гибрид)","35 788 км","27 600 000 ₸","Алматы",2025-07-02T23:59:59+05:00,https://kolesa.kz/a/show/190151828
Hyundai,"Santa Fe",2024,"Внедорожник","2.5 (бензин)","14 000 км","21 200 000 ₸","Алматы",2025-07-01T23:59:59+05:00,https://kolesa.kz/a/show/190650843
Mercedes-Benz,Sprinter,2025,"Фургон",,,"23 790 000 ₸","Алматы",2025-07-01T14:30:23+05:00,https://kolesa.kz/a/show/184224138
Zeekr,001,2025,"Лифтбек",,"20 км","24 890 000 ₸","Алматы",2025-07-07T23:59:59+05:00,https://kolesa.kz/a/show/191439532
Toyota,"Land Cruiser Prado",2021,"Внедорожник","2.7 (бензин)","67 000 км","25 500 000 ₸","Алматы",2025-07-07T08:06:52+05:00,https://kolesa.kz/a/show/193433541
Cadillac,"Escalade ESV",2020,"Внедорожник","6.2 (бензин)","94 000 км","32 000 000 ₸","Алматы",2025-07-07T23:59:59+05:00,https://kolesa.kz/a/show/174291669
Mercedes-Benz,"G 55 AMG",2009,"Внедорожник","5.5 (бензин)",,"21 500 000 ₸","Алматы",2025-07-07T13:49:33+05:00,https://kolesa.kz/a/show/183201083
Mercedes-Benz,EQC,2022,"Кроссовер",,,"22 000 000 ₸","Алматы",2025-07-07T23:59:59+05:00,https://kolesa.kz/a/show/192790263
Lexus,"RX 350",2021,"Кроссовер","3.5 (бензин)","100 000 км","21 500 000 ₸","Алматы",2025-07-07T17:10:35+05:00,https://kolesa.kz/a/show/193470209
Li,L9,2025,"Кроссовер","1.5 (гибрид)",,"31 500 000 ₸","Алматы",2025-07-07T23:59:59+05:00,https://kolesa.kz/a/show/189696237
BMW,"X5 M",2016,"Кроссовер","4.4 (бензин)","67 000 км","31 000 000 ₸","Алматы",2025-07-06T23:59:59+05:00,https://kolesa.kz/a/show/189721882
Hyundai,Palisade,2022,"Кроссовер","3.8 (бензин)","9 001 км","27 400 000 ₸","Алматы",2025-07-05T18:25:08+05:00,https://kolesa.kz/a/show/192668320
Toyota,4Runner,2022,"Внедорожник","4 (бензин)","21 000 км","24 000 000 ₸","Алматы",2025-07-05T14:38:31+05:00,https://kolesa.kz/a/show/181235095
Toyota,"Land Cruiser 70",2025,"Внедорожник","4 (бензин)",,"31 400 000 ₸","Алматы",2025-07-07T16:55:20+05:00,https://kolesa.kz/a/show/187306374
Toyota,"Land Cruiser Prado",2022,"Внедорожник","2.7 (бензин)","37 000 км","28 000 000 ₸","Алматы",2025-07-07T23:59:59+05:00,https://kolesa.kz/a/show/193187507
Lexus,"RX 300",2020,"Кроссовер","2 (бензин)","74 614 км","24 800 000 ₸","Алматы",2025-07-06T16:08:08+05:00,https://kolesa.kz/a/show/191183120
Mercedes-Benz,"E 200",2022,Седан,"2 (бензин)","32 000 км","32 000 000 ₸","Алматы",2025-07-06T23:59:59+05:00,https://kolesa.kz/a/show/191910618
Toyota,"Land Cruiser",2024,"Внедорожник","4 (бензин)",,"31 400 000 ₸","Алматы",2025-07-07T16:55:25+05:00,https://kolesa.kz/a/show/180301960
Hyundai,"Santa Fe",2023,"Кроссовер","3.5 (бензин)","37 000 км","21 000 000 ₸","Алматы",2025-07-07T23:59:59+05:00,https://kolesa.kz/a/show/193473886
Toyota,"Grand Highlander",2024,"Кроссовер","2.4 (бензин)","79 394 км","23 000 000 ₸","Алматы",2025-07-07T19:27:18+05:00,https://kolesa.kz/a/show/185078494
EXEED,VX,2025,"Кроссовер","2 (бензин)","2 900 км","20 500 000 ₸","Алматы",2025-07-07T23:59:59+05:00,https://kolesa.kz/a/show/191836530
Mitsubishi,"Montero Sport",2023,"Внедорожник","3 (бензин)","20 км","21 700 000 ₸","Алматы",2025-07-02T14:42:59+05:00,https://kolesa.kz/a/show/193075711
Li,L9,2025,"Внедорожник","1.5 (гибрид)","1 210 км","30 490 000 ₸","Алматы",2025-07-06T09:13:43+05:00,https://kolesa.kz/a/show/193364712
Volvo,XC90,2021,"Кроссовер","2 (бензин)","107 000 км","27 000 000 ₸","Алматы",2025-07-07T12:35:23+05:00,https://kolesa.kz/a/show/187890807
Lexus,"LX 570",2012,"Внедорожник","5.7 (бензин)","232 000 км","22 000 000 ₸","Алматы",2025-07-07T23:59:59+05:00,https://kolesa.kz/a/show/177884162
"Polar Stone","Jishi 01",2025,"Внедорожник","1.5 (гибрид)","50 км","24 850 000 ₸","Алматы",2025-07-07T23:59:59+05:00,https://kolesa.kz/a/show/187878618
Mercedes-Benz,"GL 63 AMG",2012,"Внедорожник","5.5 (бензин)",,"23 000 000 ₸","Алматы",2025-07-07T19:40:37+05:00,https://kolesa.kz/a/show/193481221
Cadillac,Escalade,2019,"Внедорожник","6.2 (бензин)","93 500 км","32 000 000 ₸","Алматы",2025-07-07T23:59:59+05:00,https://kolesa.kz/a/show/193372180
Denza,D9,2024,"Минивэн","1.5 (гибрид)","22 000 км","24 900 000 ₸","Алматы",2025-07-07T23:59:59+05:00,https://kolesa.kz/a/show/192942427
Toyota,Highlander,2021,"Кроссовер","3.5 (бензин)","89 000 км","22 000 000 ₸","Алматы",2025-07-07T19:47:44+05:00,https://kolesa.kz/a/show/190561152
Li,L9,2023,"Кроссовер","1.5 (бензин)","15 000 км","29 500 000 ₸","Алматы",2025-07-03T12:32:36+05:00,https://kolesa.kz/a/show/191377479
Mercedes-Benz,EQC,2021,"Кроссовер",,"11 000 км","22 500 000 ₸","Алматы",2025-07-07T23:59:59+05:00,https://kolesa.kz/a/show/193155075
Toyota,Highlander,2023,"Кроссовер","2.4 (бензин)","55 000 км","23 500 000 ₸","Алматы",2025-07-04T13:44:00+05:00,https://kolesa.kz/a/show/193240555
Toyota,"Land Cruiser Prado",2014,"Внедорожник","4 (бензин)","170 500 км","23 500 000 ₸","Алматы",2025-07-04T15:18:28+05:00,https://kolesa.kz/a/show/191749377
Porsche,Macan,2014,"Кроссовер","3.6 (бензин)","113 000 км","20 990 000 ₸","Алматы",2025-07-07T23:59:59+05:00,https://kolesa.kz/a/show/174836059
Hyundai,"Santa Fe",2022,"Кроссовер","2.5 (бензин)","28 700 км","21 600 000 ₸","Алматы",2025-07-02T12:14:20+05:00,https://kolesa.kz/a/show/193061766
Mercedes-Benz,"G 63 AMG",2014,"Внедорожник","5.5 (бензин)","128 000 км","33 000 000 ₸","Алматы",2025-07-07T23:59:59+05:00,https://kolesa.kz/a/show/184417595
Toyota,"Land Cruiser",2013,"Внедорожник","4.6 (бензин)","268 437 км","21 100 000 ₸","Алматы",2025-07-02T19:45:19+05:00,https://kolesa.kz/a/show/191813905
Toyota,"RAV 4",2025,"Кроссовер","2.5 (гибрид)",,"20 500 000 ₸","Алматы",2025-07-07T23:59:59+05:00,https://kolesa.kz/a/show/192370993
Toyota,"Land Cruiser Prado",2024,"Внедорожник","2.7 (бензин)","20 915 км","30 500 000 ₸","Алматы",2025-07-06T16:08:55+05:00,https://kolesa.kz/a/show/193143433
Lexus,"GX 460",2016,"Внедорожник","4.6 (бензин)","132 000 км","25 500 000 ₸","Алматы",2025-07-07T06:03:58+05:00,https://kolesa.kz/a/show/188931716
"Lynk & Co",09,2025,"Кроссовер","2 (гибрид)",,"29 490 000 ₸","Алматы",2025-07-03T18:00:25+05:00,https://kolesa.kz/a/show/191868301
Toyota,4Runner,2021,"Внедорожник","4 (бензин)","63 000 км","31 000 000 ₸","Алматы",2025-07-06T03:53:38+05:00,https://kolesa.kz/a/show/159399198
Jaguar,XJ,2016,Седан,"2 (бензин)",,"30 000 000 ₸","Алматы",2025-07-05T01:27:15+05:00,https://kolesa.kz/a/show/179816816
Dodge,Ram,2022,"Пикап","3.6 (бензин)","8 040 км","30 500 000 ₸","Алматы",2025-07-04T13:29:26+05:00,https://kolesa.kz/a/show/167306465
Chevrolet,Camaro,2022,"Купе","6.2 (бензин)","7 000 км","29 500 000 ₸","Алматы",2025-07-03T10:09:47+05:00,https://kolesa.kz/a/show/178678227
Hyundai,Staria,2022,"Минивэн","2.2 (дизель)","22 000 км","26 000 000 ₸","Алматы",2025-07-03T15:15:00+05:00,https://kolesa.kz/a/show/159998862
Toyota,"Land Cruiser",2015,"Внедорожник","4.7 (бензин)","190 000 км","20 500 000 ₸","Алматы",2025-07-07T23:59:59+05:00,https://kolesa.kz/a/show/192457790
Li,L6,2025,"Кроссовер","1.5 (гибрид)","22 км","22 500 000 ₸","Алматы",2025-07-07T23:59:59+05:00,https://kolesa.kz/a/show/192830265
BMW,530,2021,Седан,"2 (бензин)","53 000 км","26 000 000 ₸","Алматы",2025-07-03T12:30:10+05:00,https://kolesa.kz/a/show/188994248
Porsche,Cayenne,2017,"Кроссовер","4.2 (дизель)","125 000 км","29 000 000 ₸","Алматы",2025-07-07T10:44:11+05:00,https://kolesa.kz/a/show/193438163
Porsche,Cayenne,2018,"Кроссовер","3 (бензин)","38 000 км","31 500 000 ₸","Алматы",2025-07-07T15:12:36+05:00,https://kolesa.kz/a/show/177140114
BMW,"X5 M",2015,"Кроссовер","4.4 (бензин)",,"30 000 000 ₸","Алматы",2025-07-05T12:29:09+05:00,https://kolesa.kz/a/show/190417508
Toyota,"Land Cruiser Prado",2017,"Внедорожник","4 (бензин)","100 000 км","26 500 000 ₸","Алматы",2025-07-04T23:59:59+05:00,https://kolesa.kz/a/show/193012103
Hyundai,Staria,2021,"Минивэн","2.2 (дизель)","63 000 км","20 700 000 ₸","Алматы",2025-07-03T14:01:19+05:00,https://kolesa.kz/a/show/188126151
Avatr,07,2025,"Кроссовер","1.5 (гибрид)","17 км","20 500 000 ₸","Алматы",2025-07-07T23:59:59+05:00,https://kolesa.kz/a/show/192088862
Li,L8,2025,"Кроссовер","1.5 (бензин)","500 км","23 000 000 ₸","Алматы",2025-07-07T17:55:16+05:00,https://kolesa.kz/a/show/192089337
Li,L9,2024,"Внедорожник","1.5 (гибрид)",,"28 017 000 ₸","Алматы",2025-07-07T23:59:59+05:00,https://kolesa.kz/a/show/164694624
Hyundai,Palisade,2025,"Кроссовер","3.5 (бензин)","2 000 км","31 000 000 ₸","Алматы",2025-07-07T14:44:39+05:00,https://kolesa.kz/a/show/193458870
Mercedes-Benz,"E 43 AMG",2017,Седан,"3 (бензин)","68 000 км","26 000 000 ₸","Алматы",2025-07-03T14:00:35+05:00,https://kolesa.kz/a/show/191303719
Mercedes-Benz,"CLS 63 AMG",2012,Седан,"5.5 (бензин)","129 000 км","20 700 000 ₸","Алматы",2025-07-03T22:39:22+05:00,https://kolesa.kz/a/show/193201291
"Land Rover","Range Rover Sport",2016,"Внедорожник","3 (бензин)","72 000 км","25 500 000 ₸","Алматы",2025-07-07T00:07:50+05:00,https://kolesa.kz/a/show/154569896
Ford,F-Series,2012,"Пикап","6.2 (бензин)","166 000 км","21 000 000 ₸","Алматы",2025-07-07T23:59:59+05:00,https://kolesa.kz/a/show/192861517
Li,L7,2024,"Кроссовер","1.5 (гибрид)","10 км","26 500 000 ₸","Алматы",2025-07-05T08:55:15+05:00,https://kolesa.kz/a/show/186800445
Tank,500,2024,"Внедорожник","3 (бензин)","8 000 км","28 000 000 ₸","Алматы",2025-07-07T23:59:59+05:00,https://kolesa.kz/a/show/187649117
Toyota,Camry,2024,Седан,"2.5 (бензин)","12 250 км","21 000 000 ₸","Алматы",2025-07-07T23:59:59+05:00,https://kolesa.kz/a/show/193002435
"Polar Stone","Jishi 01",2024,"Внедорожник","1.5 (гибрид)","17 000 км","26 500 000 ₸","Алматы",2025-07-05T08:06:36+05:00,https://kolesa.kz/a/show/188885553
Li,L7,2025,"Кроссовер","1.5 (гибрид)",,"27 000 000 ₸","Алматы",2025-07-07T10:03:35+05:00,https://kolesa.kz/a/show/190440560
Toyota,4Runner,2022,"Внедорожник","4 (бензин)",,"21 500 000 ₸","Алматы",2025-07-07T10:19:07+05:00,https://kolesa.kz/a/show/193439375
Lexus,"GX 460",2015,"Внедорожник","4.6 (бензин)","120 000 км","23 000 000 ₸","Алматы",2025-07-07T14:29:29+05:00,https://kolesa.kz/a/show/191256218
Mercedes-Benz,"GLS 400",2017,"Внедорожник","3 (бензин)","220 000 км","24 000 000 ₸","Алматы",2025-07-05T14:36:56+05:00,https://kolesa.kz/a/show/192066198
BMW,X5,2020,"Кроссовер","3 (бензин)","40 000 км","30 500 000 ₸","Алматы",2025-07-05T12:11:22+05:00,https://kolesa.kz/a/show/187180361
"Land Rover","Range Rover",2014,"Внедорожник","5 (бензин)","190 000 км","27 000 000 ₸","Алматы",2025-07-07T10:54:27+05:00,https://kolesa.kz/a/show/186075552
Toyota,"Land Cruiser Prado",2013,"Внедорожник","4 (бензин)","71 000 км","23 500 000 ₸","Алматы",2025-07-04T12:30:29+05:00,https://kolesa.kz/a/show/177680203
"Land Rover",Discovery,2018,"Внедорожник","3 (бензин)","91 000 км","21 000 000 ₸","Алматы",2025-07-07T17:38:16+05:00,https://kolesa.kz/a/show/181391816
Li,L7,2024,"Кроссовер","1.5 (гибрид)","1 500 км","22 000 000 ₸","Алматы",2025-07-07T18:45:28+05:00,https://kolesa.kz/a/show/192904252
Mercedes-Benz,"G 63 AMG",2013,"Внедорожник","5.5 (бензин)","120 000 км","31 000 000 ₸","Алматы",2025-07-07T13:05:20+05:00,https://kolesa.kz/a/show/180382887
Toyota,"Land Cruiser",2016,"Внедорожник","4.6 (бензин)","110 000 км","31 500 000 ₸","Алматы",2025-07-06T23:59:59+05:00,https://kolesa.kz/a/show/193381316
"Lynk & Co",09,2025,"Кроссовер","2 (гибрид)",,"26 290 000 ₸","Алматы",2025-07-03T18:00:25+05:00,https://kolesa.kz/a/show/191868095
Hyundai,Palisade,2022,"Кроссовер","3.8 (бензин)","58 000 км","24 490 000 ₸","Алматы",2025-07-07T23:59:59+05:00,https://kolesa.kz/a/show/193149164
Li,L9,2023,"Кроссовер","1.5 (бензин)","30 000 км","25 500 000 ₸","Алматы",2025-07-06T23:59:59+05:00,https://kolesa.kz/a/show/192868548
BMW,520,2023,Седан,"2 (бензин)","50 000 км","24 780 000 ₸","Алматы",2025-07-04T23:59:59+05:00,https://kolesa.kz/a/show/187591344
Mercedes-Benz,"G 55 AMG",2007,"Внедорожник","5.5 (бензин)","82 000 км","24 000 000 ₸","Алматы",2025-07-05T01:47:09+05:00,https://kolesa.kz/a/show/170622234
"Land Rover","Range Rover",2015,"Внедорожник","3 (бензин)","141 000 км","30 000 000 ₸","Алматы",2025-07-05T00:31:14+05:00,https://kolesa.kz/a/show/182819800
BYD,"FangChengBao Leopard 5",2024,"Внедорожник","1.5 (гибрид)","8 000 км","22 500 000 ₸","Алматы",2025-07-07T23:59:59+05:00,https://kolesa.kz/a/show/191910817
Mercedes-Benz,"GLE Coupe 400",2016,"Кроссовер","3 (бензин)","108 000 км","24 000 000 ₸","Алматы",2025-07-05T10:19:58+05:00,https://kolesa.kz/a/show/192169270
Aito,M7,2025,"Кроссовер","1.5 (гибрид)",,"24 900 000 ₸","Алматы",2025-07-07T23:59:59+05:00,https://kolesa.kz/a/show/183053277
Toyota,Highlander,2020,"Кроссовер","3.5 (бензин)","38 000 км","26 000 000 ₸","Алматы",2025-07-03T11:25:23+05:00,https://kolesa.kz/a/show/191453934
Li,L6,2025,"Кроссовер","1.5 (гибрид)",,"21 200 000 ₸","Алматы",2025-07-01T11:52:54+05:00,https://kolesa.kz/a/show/192963744
Toyota,Highlander,2022,"Кроссовер","3.5 (бензин)","35 000 км","22 000 000 ₸","Алматы",2025-07-07T19:03:22+05:00,https://kolesa.kz/a/show/193478271
Mitsubishi,"Montero Sport",2023,"Внедорожник","3 (бензин)","19 км","22 500 000 ₸","Алматы",2025-07-07T23:59:59+05:00,https://kolesa.kz/a/show/192167755
Cadillac,Escalade,2020,"Внедорожник","6.2 (бензин)","65 000 км","33 000 000 ₸","Алматы",2025-07-07T23:59:59+05:00,https://kolesa.kz/a/show/187245374
Toyota,Fortuner,2022,"Внедорожник","4 (бензин)",,"28 000 000 ₸","Алматы",2025-07-07T23:59:59+05:00,https://kolesa.kz/a/show/164945611
Cadillac,Escalade,2020,"Внедорожник","6.2 (бензин)","97 000 км","33 000 000 ₸","Алматы",2025-07-07T23:59:59+05:00,https://kolesa.kz/a/show/193397719
Mercedes-Benz,"E 400",2016,Седан,"3 (бензин)","80 000 км","24 000 000 ₸","Алматы",2025-07-04T23:59:59+05:00,https://kolesa.kz/a/show/191548821
Lexus,"RX 450h",2021,"Кроссовер","3.5 (бензин)","67 000 км","29 500 000 ₸","Алматы",2025-07-02T23:59:59+05:00,https://kolesa.kz/a/show/192313666
Lexus,"LX 570",2012,"Внедорожник","5.7 (газ-бензин)","260 000 км","26 000 000 ₸","Алматы",2025-07-02T23:59:59+05:00,https://kolesa.kz/a/show/192818550
Toyota,"Land Cruiser",2013,"Внедорожник","4.6 (бензин)","200 000 км","23 500 000 ₸","Алматы",2025-07-04T12:19:33+05:00,https://kolesa.kz/a/show/187567032
Tesla,"Model X",2017,"Кроссовер",,"149 000 км","30 000 000 ₸","Алматы",2025-07-04T23:59:59+05:00,https://kolesa.kz/a/show/178772874
Tesla,"Model X",2019,"Кроссовер",,"62 000 км","29 000 000 ₸","Алматы",2025-07-07T13:07:03+05:00,https://kolesa.kz/a/show/144920815
Toyota,"Land Cruiser",2014,"Внедорожник","4.6 (бензин)","117 000 км","28 500 000 ₸","Алматы",2025-07-05T00:10:19+05:00,https://kolesa.kz/a/show/187435231
Mercedes-Benz,"GLS 400",2017,"Внедорожник","3 (бензин)",,"26 500 000 ₸","Алматы",2025-07-04T23:59:59+05:00,https://kolesa.kz/a/show/191968516
Toyota,Tundra,2009,"Пикап","5.7 (бензин)",,"23 500 000 ₸","Алматы",2025-07-03T23:59:59+05:00,https://kolesa.kz/a/show/181715519
Lexus,"LX 570",2014,"Внедорожник","5.7 (бензин)","207 561 км","28 000 000 ₸","Алматы",2025-07-06T23:59:59+05:00,https://kolesa.kz/a/show/188325061
Kia,Carnival,2021,"Минивэн","3.5 (бензин)","67 000 км","21 500 000 ₸","Алматы",2025-07-06T23:59:59+05:00,https://kolesa.kz/a/show/160580706
Genesis,G70,2021,"Универсал","2.5 (бензин)","26 000 км","21 188 000 ₸","Алматы",2025-07-01T13:31:18+05:00,https://kolesa.kz/a/show/188860654
Hyundai,Palisade,2023,"Кроссовер","3.5 (бензин)","37 000 км","27 000 000 ₸","Алматы",2025-07-06T20:40:33+05:00,https://kolesa.kz/a/show/190989183
BYD,"FangChengBao Leopard 5",2025,"Внедорожник","1.5 (гибрид)","17 км","24 900 000 ₸","Алматы",2025-07-07T23:59:59+05:00,https://kolesa.kz/a/show/191781421
Toyota,"Land Cruiser",2016,"Внедорожник","4.6 (бензин)","150 000 км","33 000 000 ₸","Алматы",2025-07-07T23:59:59+05:00,https://kolesa.kz/a/show/193307899
Kia,K8,2025,Седан,"2.5 (бензин)","98 км","27 000 000 ₸","Алматы",2025-07-06T23:59:59+05:00,https://kolesa.kz/a/show/192680677
BMW,X1,2024,"Кроссовер","2 (бензин)","15 км","31 500 000 ₸","Алматы",2025-07-06T23:59:59+05:00,https://kolesa.kz/a/show/185217295
Toyota,"Land Cruiser Prado",2020,"Внедорожник","2.7 (бензин)","70 000 км","23 500 000 ₸","Алматы",2025-07-04T11:49:59+05:00,https://kolesa.kz/a/show/189192896
Lexus,"RX 300",2020,"Кроссовер","2 (бензин)","61 000 км","24 900 000 ₸","Алматы",2025-07-07T23:59:59+05:00,https://kolesa.kz/a/show/171557796
Genesis,GV70,2021,"Кроссовер","2.4 (бензин)","35 000 км","26 000 000 ₸","Алматы",2025-07-03T10:42:52+05:00,https://kolesa.kz/a/show/149763806
Jeep,Wrangler,2020,"Внедорожник","2 (бензин)","9 000 км","30 500 000 ₸","Алматы",2025-07-03T17:45:36+05:00,https://kolesa.kz/a/show/193178323
BYD,"FangChengBao Leopard 8",2025,"Внедорожник","2 (гибрид)","17 км","31 500 000 ₸","Алматы",2025-07-06T23:59:59+05:00,https://kolesa.kz/a/show/192089320
BMW,530,2022,Седан,"2 (бензин)","50 000 км","29 500 000 ₸","Алматы",2025-07-02T23:02:55+05:00,https://kolesa.kz/a/show/193115559
BMW,M5,2014,Седан,"4.4 (бензин)","170 000 км","29 000 000 ₸","Алматы",2025-07-07T01:21:26+05:00,https://kolesa.kz/a/show/177059869
Toyota,"Land Cruiser Prado",2019,"Внедорожник","2.7 (бензин)","146 300 км","24 000 000 ₸","Алматы",2025-07-05T15:57:39+05:00,https://kolesa.kz/a/show/193321081
Toyota,"Land Cruiser Prado",2019,"Внедорожник","2.7 (бензин)","94 000 км","22 000 000 ₸","Алматы",2025-07-07T15:22:50+05:00,https://kolesa.kz/a/show/152279859
"Polar Stone","Jishi 01",2024,"Внедорожник","1.5 (гибрид)","26 000 км","26 000 000 ₸","Алматы",2025-07-02T23:59:59+05:00,https://kolesa.kz/a/show/193047693
Hyundai,Palisade,2023,"Кроссовер","3.8 (бензин)","25 000 км","25 500 000 ₸","Алматы",2025-07-06T22:27:24+05:00,https://kolesa.kz/a/show/192659278
BMW,X7,2019,"Кроссовер","3 (бензин)","130 000 км","32 000 000 ₸","Алматы",2025-07-07T23:59:59+05:00,https://kolesa.kz/a/show/191970011
Ford,F-Series,2021,"Пикап","2.7 (бензин)",,"30 000 000 ₸","Алматы",2025-07-04T23:59:59+05:00,https://kolesa.kz/a/show/192664610
